sa2_code_2021,Private 4 profit%,Fee per hr,Fee growth%,% fee above cap,Low quality%,On track%,Prenatal visits%,Low b/weight%,Age4 enr%,Reg/remote%,Indig%,SEIFA %,cluster
501011003,16.67,11.72,3.36836893765454,18.75,0,62.7,98.4,5.5,112.05673758865248,100,2.0656136087484813,0.73,3
501011004,37.5,11.72,3.36836893765454,18.75,0,48.40000000000001,98.4,5.5,100.75757575757575,100,2.340702210663199,0.57,3
503011030,0,13.34,5.06458905118665,85.7142857142857,0,68.9,99,5.3,86.53846153846155,0,0,1,1
503011031,12.5,13.34,5.06458905118665,85.7142857142857,0,64.8,99,5.3,138.55421686746988,0,0.7263922518159807,0.93,1
503011032,0,13.34,5.06458905118665,85.7142857142857,0,61.3,99,5.3,113.23529411764706,0,0.9708737864077668,1,1
503011033,50,13.34,5.06458905118665,85.7142857142857,25,76.9,99,5.3,99.03846153846155,0,0,1,1
503011034,30,13.34,5.06458905118665,85.7142857142857,0,67.89999999999999,99,5.3,93.20388349514563,0,2.1621621621621623,0.94,1
503011035,35.71,13.34,5.06458905118665,85.7142857142857,0,75,99,5.3,94.24083769633508,0,0.9836065573770492,0.98,1
503011036,20,13.34,5.06458905118665,85.7142857142857,0,63.1,99,5.3,101.86915887850468,0,1.36986301369863,0.98,1
503021038,44.44,12.71,4.87208284691951,65,0,88.7,98.5,6,102.63157894736842,0,0.32786885245901637,0.93,1
503021039,53.85,12.71,4.87208284691951,65,15.384615384615385,63.7,98.5,6,100.60240963855422,0,0.4985044865403789,0.89,1
503021040,57.14,12.71,4.87208284691951,65,0,71.8,98.5,6,95,0,0.6430868167202572,0.88,1
503021042,50,12.71,4.87208284691951,65,12.5,64.7,98.5,6,102.29885057471265,0,1.684836471754212,0.94,1
503021043,41.67,12.71,4.87208284691951,65,8.333333333333332,71.1,98.5,6,115.88785046728971,0,1.1075949367088609,0.87,1
504011044,30.77,10.99,3.8746962399339,12.5,7.6923076923076925,65.9,96.9,7.9,100,0,4.694048616932104,0.55,3
504011045,30,10.99,3.8746962399339,12.5,10,68.29999999999998,96.9,7.9,102.18068535825545,0,2.1019442984760905,0.69,3
504011046,75,10.99,3.8746962399339,12.5,25,59.20000000000001,96.9,7.9,91.26984126984127,0,1.336573511543135,0.67,3
504011047,63.64,10.99,3.8746962399339,12.5,9.090909090909092,59,96.9,7.9,98.25783972125436,0,4,0.48,3
504011048,0,10.99,3.8746962399339,12.5,0,58.20000000000001,96.9,7.9,101.23456790123457,0,3.282275711159737,0.64,3
504021049,0,10.53,6.36561235533721,11.1111111111111,0,65.4,95.5,10.1,83.33333333333334,100,2.7777777777777777,0.57,2
504021050,0,10.53,6.36561235533721,11.1111111111111,0,65.7,95.5,10.1,110.8108108108108,0,2.3696682464454977,0.88,3
504021051,33.33,10.53,6.36561235533721,11.1111111111111,0,63.6,95.5,10.1,78.82352941176471,0,2.9612756264236904,0.62,3
