sa2_code_2016,sa2_5dig_2016,sa2_name_2016,sa3_code_2016,sa3_name_2016,sa4_code_2016,sa4_name_2016,gcc_code_2016,gcc_name_2016,state_code_2016,state_name_2016,areasqkm_2016,cent_long,cent_lat,service_approval_number,service_name,mgmt_type,suburb,postcode,state,seifa,aria,nqs_max_total_places,service_sub_type,nqs_overall_rating,dataset,mgmt_type_adj
497979799,49799,Migratory - Offshore - Shipping (SA),49797,Migratory - Offshore - Shipping (SA),497,Migratory - Offshore - Shipping (SA),49799,Migratory - Offshore - Shipping (SA),4,South Australia,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
499999499,49499,No usual address (SA),49999,No usual address (SA),499,No usual address (SA),49499,No usual address (SA),4,South Australia,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
501021011,51011,Davenport,50102,Bunbury,501,Bunbury,5RWAU,Rest of WA,5,Western Australia,11.7042,115.68515976184835,-33.3739771354162,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
503021037,51037,Kings Park (WA),50302,Perth City,503,Perth - Inner,5GPER,Greater Perth,5,Western Australia,4.1819,115.83160356482009,-31.96252029117421,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
504021052,51052,Malmalling - Reservoir,50402,Mundaring,504,Perth - North East,5GPER,Greater Perth,5,Western Australia,318.3852,116.28583372910576,-31.96522861951302,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
504031055,51055,Avon Valley National Park,50403,Swan,504,Perth - North East,5GPER,Greater Perth,5,Western Australia,74.9605,116.18872291892058,-31.636068468484908,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
504031063,51063,Malaga,50403,Swan,504,Perth - North East,5GPER,Greater Perth,5,Western Australia,6.4045,115.89422365463545,-31.85872961222215,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
504031064,51064,Melaleuca - Lexia,50403,Swan,504,Perth - North East,5GPER,Greater Perth,5,Western Australia,99.6581,115.9178631198935,-31.72948398493279,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
504031069,51069,Walyunga National Park,50403,Swan,504,Perth - North East,5GPER,Greater Perth,5,Western Australia,17.9495,116.0764271583253,-31.721920231584193,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
505021087,51087,Herdsman,50502,Stirling,505,Perth - North West,5GPER,Greater Perth,5,Western Australia,3.1133,115.80538281324037,-31.920146983109404,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
505021091,51091,Osborne Park Industrial,50502,Stirling,505,Perth - North West,5GPER,Greater Perth,5,Western Australia,3.4451,115.8124046292866,-31.905738086891308,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
505031106,51106,Neerabup National Park,50503,Wanneroo,505,Perth - North West,5GPER,Greater Perth,5,Western Australia,17.863,115.74433854923726,-31.681417668447203,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
505031256,51256,Carabooda - Pinjar,50503,Wanneroo,505,Perth - North West,5GPER,Greater Perth,5,Western Australia,371.0902,115.77576459051753,-31.56878648662631,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
506011111,51111,Ashendon - Lesley,50601,Armadale,506,Perth - South East,5GPER,Greater Perth,5,Western Australia,326.2898,116.2076199956057,-32.184904471709544,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
507011151,51151,Bibra Lake,50701,Cockburn,507,Perth - South West,5GPER,Greater Perth,5,Western Australia,4.1706,115.82774438227116,-32.088478175348776,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
507011155,51155,Henderson,50701,Cockburn,507,Perth - South West,5GPER,Greater Perth,5,Western Australia,8.7396,115.77959743394773,-32.16262446368225,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
507021167,51167,O'Connor (WA),50702,Fremantle,507,Perth - South West,5GPER,Greater Perth,5,Western Australia,1.6691,115.79185963502542,-32.0591587447799,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
507031172,51172,Hope Valley - Postans,50703,Kwinana,507,Perth - South West,5GPER,Greater Perth,5,Western Australia,24.7949,115.81530904312399,-32.207400234408865,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
507031173,51173,Kwinana Industrial,50703,Kwinana,507,Perth - South West,5GPER,Greater Perth,5,Western Australia,16.7145,115.77561658673298,-32.21966767075406,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
507051189,51189,Rockingham Lakes,50705,Rockingham,507,Perth - South West,5GPER,Greater Perth,5,Western Australia,21.0334,115.78073981386903,-32.31823535832114,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
